1 1 0
1 2 1
1 3 0
2 1 0
3 4 0
3 4 0
4 5 0
5 6 0
6 7 1
6 8 1
7 5 1
8 9 -1
6 10 -1
9 11 1
10 11 0
9 12 1
11 13 1
12 14 0
13 15 0
14 10 -1
15 11 1
16 11 1
17 16 0
8 12 -1
6 1 0
18 12 0
19 1 0
20 17 1
15 11 1
21 18 0
22 19 0
23 20 1
24 1 0
19 21 0
25 1 0
25 10 -1
22 22 1
23 20 1
16 23 -1
26 24 0
24 24 0
27 17 1
28 14 -1
29 12 1
30 21 0
31 20 1
32 1 0
25 16 0
27 12 0
33 25 -1
31 25 0
34 22 1
35 26 0
36 27 0
37 28 0
38 29 1
39 22 1
40 30 1
41 27 1
42 31 -1
43 32 1
31 33 -1
44 34 0
45 28 0
46 35 1
46 30 1
47 36 0
47 37 0
48 37 0
34 23 1
49 38 -1
50 35 1
51 39 0
52 23 0
34 12 1
53 25 -1
54 5 0
55 29 1
56 31 0
48 37 1
34 12 1
57 40 0
58 1 1
1 12 0
1 23 1
59 41 1
60 5 0
40 30 0
59 42 1
61 43 0
27 17 1
61 44 1
62 45 1
63 12 1
64 15 0
65 17 1
66 46 1
27 23 1
66 46 1
31 47 1
67 43 0
22 44 1
68 48 1
69 49 0
1 50 0
70 49 1
71 51 0
72 12 1
72 52 0
73 23 1
72 44 0
40 44 1
63 47 1
74 29 0
72 30 0
75 53 0
72 9 0
76 22 1
72 30 0
77 30 0
78 54 0
31 55 0
79 56 0
79 57 0
80 11 1
81 15 0
72 29 1
72 58 0
48 21 0
9 11 1
82 24 0
83 59 0
38 29 1
84 60 0
85 61 0
72 60 1
49 60 0
86 62 0
87 1 0
85 1 0
85 7 1
88 22 1
89 63 0
72 41 1
89 64 0
90 12 1
91 21 1
32 7 0
38 65 1
92 64 0
93 35 0
94 22 1
95 35 0
31 22 0
58 1 1
96 7 1
97 7 1
97 34 0
98 2 1
99 61 0
92 10 0
100 66 1
101 7 1
102 27 0
103 67 1
72 41 1
83 59 0
104 2 1
27 17 1
91 17 1
98 41 1
105 59 0
92 68 0
106 69 1
103 21 1
107 66 1
108 68 0
109 68 0
110 70 0
111 11 1
112 17 1
113 1 0
114 1 0
101 63 1
115 22 1
116 44 0
117 24 -1
118 71 0
33 23 0
119 48 1
120 53 -1
119 59 0
18 11 1
103 67 1
28 1 0
121 23 1
83 12 1
122 29 1
123 37 0
124 29 0
125 72 1
126 72 1
127 31 0
128 73 -1
83 12 0
120 12 1
129 1 0
128 74 -1
130 17 1
75 41 1
131 63 0
132 75 0
59 76 0
133 77 0
91 66 1
103 78 0
134 76 0
91 12 1
104 44 1
98 2 1
135 22 0
129 44 0
136 2 0
112 17 1
137 22 1
136 41 0
138 79 1
120 12 1
130 29 1
139 22 1
140 51 0
141 80 0
142 81 0
140 62 0
143 82 0
144 1 1
85 41 1
143 82 0
145 83 0
146 22 1
146 22 1
136 30 0
147 65 1
27 17 1
148 29 0
149 82 0
33 12 0
150 29 1
103 84 1
151 85 1
152 29 0
153 86 -1
154 29 1
155 29 1
97 7 1
75 75 0
156 21 0
121 23 1
27 41 1
157 66 1
158 84 1
103 87 1
103 88 1
38 11 1
159 75 1
160 89 -1
161 65 0
162 59 1
163 59 0
164 85 1
49 89 -1
98 42 0
165 90 0
166 18 0
163 41 1
162 91 1
167 29 1
97 29 1
168 92 -1
169 29 -1
170 91 0
171 93 1
92 7 -1
172 48 1
173 94 1
174 22 1
174 22 1
175 93 1
163 94 0
176 17 1
136 24 0
177 32 0
178 85 1
178 22 1
129 30 1
179 17 1
175 95 -1
33 23 1
133 7 -1
180 24 1
162 96 1
20 17 1
181 48 1
182 7 -1
183 9 -1
184 77 -1
185 97 -1
186 29 1
187 98 0
188 99 0
183 66 1
189 12 1
190 29 1
49 36 1
191 100 0
192 100 0
128 101 1
17 41 1
22 102 1
93 102 1
193 69 -1
51 103 -1
194 12 1
195 104 -1
196 104 -1
137 104 -1
197 105 1
198 103 -1
199 12 1
49 12 1
200 12 1
20 17 1
201 69 -1
162 12 1
202 20 1
203 37 0
27 12 0
58 29 1
204 7 1
205 42 1
206 44 1
20 17 1
27 17 1
133 106 1
105 106 1
207 107 1
105 12 1
27 17 1
105 23 -1
59 108 1
208 66 1
59 109 1
86 29 1
86 23 1
105 110 0
209 96 1
86 111 1
210 112 0
210 113 -1
128 114 0
210 15 1
